Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HGT
354,Jalen Rose\roseja01,SF,29,TOT,83,83,3153,7.6,16.6,0.455,1,2.8,0.362,6.6,13.8,0.474,3.2,3.8,0.839,0.5,3.8,4.3,4.1,0.9,0.5,2.3,2.9,19.4,2.03
355,Malik Rose\rosema01,PF,27,SAS,82,1,1725,6.1,13.2,0.463,0,0.3,0.083,6.1,13,0.47,3.9,5.4,0.72,3.6,6.7,10.3,1.3,1.5,0.9,2.9,4.3,16.1,2.01
356,Michael Ruffin\ruffimi01,PF,25,PHI,15,0,169,1.5,5.5,0.269,0,0,,1.5,5.5,0.269,0.4,1.7,0.25,4.9,6,10.9,1.1,1.1,1.7,2.3,4.9,3.4,2.08
357,Bryon Russell\russebr01,SG,31,UTA,66,40,1998,4,10.5,0.38,1.4,4.1,0.341,2.6,6.5,0.405,2.1,2.5,0.821,1.4,3.9,5.3,2.5,1.2,0.3,2,3.7,11.5,2.01
358,Daniel Santiago\santida01,C,25,PHO,3,0,24,6,12,0.5,0,0,,6,12,0.5,0,0,,0,10.5,10.5,3,0,1.5,3,6,12,2.16
359,Jeryl Sasser\sasseje01,SG,22,ORL,7,0,36,3,14,0.214,0,0,,3,14,0.214,4,5,0.8,3,4,7,2,3,0,2,3,10,1.98
360,Kenny Satterfield\satteke01,PG,20,DEN,36,4,560,4.7,12.8,0.367,0.5,1.7,0.259,4.2,11.1,0.384,2.3,3,0.783,1.1,2.3,3.3,6.9,2,0.1,3.4,2.8,12.2,1.88
361,Brian Scalabrine\scalabr01,PF,23,NJN,28,0,290,2.9,8.3,0.343,0.4,1.2,0.3,2.5,7.1,0.351,1.4,1.9,0.733,1.5,4.8,6.3,2.6,1.1,0.2,3,4.8,7.4,2.06
362,Shawnelle Scott\scottsh01,C,29,DEN,21,10,252,5.3,10.7,0.493,0,0,,5.3,10.7,0.493,1.1,2.9,0.4,7.6,7.1,14.7,1.1,0.4,0.9,2.1,7,11.7,2.08
363,Ansu Sesay\sesayan01,SF,25,SEA,9,0,142,5.6,11.2,0.5,0,0,,5.6,11.2,0.5,3.5,5.1,0.7,1.8,3.3,5.1,2,0.8,0.5,0.5,4.6,14.7,2.06
